RowId,Location
1,65.90571
2,37.342113
3,28.821428
4,36.884094
5,60.18399
6,37.711132
7,72.37458
8,38.748287
9,34.71074
10,37.348145
11,22.125904
12,37.748314
13,56.631332
14,25.36319
15,79.37937
16,27.752232
17,37.538982
18,24.04274
19,15.639949
20,27.089476
21,48.024788
22,51.040195
23,61.982124
24,74.85898
25,32.42105
26,74.9008
27,47.139565
28,66.054985
29,47.173256
30,85.5792
31,66.307755
32,36.766106
33,27.653896
34,37.269157
35,60.115417
36,37.839
37,73.32843
38,37.31017
39,34.064137
40,37.60209
41,20.951382
42,38.660133
43,55.60067
44,32.359562
45,79.21007
46,29.971128
47,35.725155
48,32.158886
49,13.71192
50,31.384153
51,47.584675
52,58.575558
53,63.774612
54,75.24432
55,33.1632
56,76.69472
57,48.323708
58,72.67654
59,48.500916
60,87.555336
61,65.45431
62,36.74373
63,31.612776
64,37.871246
65,59.895874
66,37.809067
67,70.54819
68,36.945053
69,36.492336
70,38.43302
71,25.927269
72,38.9733
73,57.53984
74,31.150763
75,75.27501
76,28.389465
77,38.33976
78,31.604523
79,19.724024
80,31.372662
81,50.20593
82,56.64877
83,62.34851
84,74.09801
85,37.229137
86,75.29715
87,50.07104
88,70.92564
89,50.479694
90,81.42232
91,65.17156
92,38.88504
93,31.498066
94,40.113987
95,58.751205
96,39.773888
97,71.49261
98,39.620102
99,37.042496
100,40.634907
101,25.121487
102,41.68866
103,54.604263
104,31.15612
105,76.21869
106,31.677275
107,39.590702
108,32.166115
109,18.715261
110,34.545383
111,48.17089
112,52.48496
113,63.56837
114,77.45175
115,33.21991
116,77.87912
117,48.049156
118,72.43102
119,48.473297
120,80.84781
121,67.1417
122,38.166428
123,29.237566
124,38.928513
125,61.019394
126,38.63475
127,72.559875
128,39.073368
129,34.172104
130,39.09651
131,23.186935
132,40.14756
133,57.888668
134,30.290375
135,78.72621
136,30.074059
137,36.14762
138,30.429638
139,16.204556
140,31.924004
141,48.40152
142,53.832294
143,63.085426
144,77.121284
145,34.923107
146,77.99147
147,48.75132
148,69.8926
149,49.31904
150,86.46559
151,67.16318
152,37.431023
153,29.244308
154,37.239765
155,60.823624
156,38.19495
157,74.73143
158,38.541527
159,35.99882
160,37.7821
161,22.328117
162,38.79937
163,56.33104
164,30.52624
165,80.379326
166,30.942093
167,38.40855
168,30.365099
169,15.666377
170,30.843664
171,48.286743
172,51.56623
173,63.821877
174,76.43518
175,32.42986
176,76.66872
177,47.9164
178,71.43619
179,47.881824
180,83.756035
181,66.63892
182,35.669357
183,26.94371
184,35.417336
185,59.453506
186,36.736732
187,74.46023
188,36.81767
189,34.96043
190,36.377106
191,18.764557
192,36.815628
193,57.187447
194,27.714298
195,80.86205
196,27.77108
197,38.483135
198,26.703472
199,11.726843
200,27.957346
201,50.83128
202,53.53921
203,62.85565
204,77.40384
205,30.57368
206,77.75394
207,47.936283
208,72.99999
209,48.007652
210,84.13756
211,66.522
212,36.31337
213,30.251848
214,36.89684
215,61.110947
216,37.327003
217,73.04674
218,36.858044
219,36.49959
220,37.23107
221,24.009003
222,38.315178
223,57.845856
224,31.421738
225,78.04744
226,29.405739
227,38.881905
228,31.430386
229,17.370523
230,31.11499
231,51.294655
232,54.36632
233,64.15324
234,73.42876
235,35.079975
236,74.68767
237,50.201767
238,70.56877
239,50.161682
240,82.27183
241,65.37388
242,39.667137
243,31.06994
244,37.281
245,59.64489
246,40.283127
247,71.900696
248,40.691525
